"location","label","date","personnel","songs"
"","[private recording]","ca.  1963","['Clifford Jordan (ts)', 'Ronnie Mathews (p)', 'Eddie Khan (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Six Bits Blues']"
"Stockholm, Sweden","Magnetic","January 1964","['Clifford Jordan (ts)', 'Coleridge-Taylor Perkinson (p)', 'Eddie Khan (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Who Will Buy?', ""Driva' Man"", 'Tears For Johannesburg']"
"Odd Fellows Palaeet, Copenhagen, Denmark","Magnetic","January 14, 1964","['Clifford Jordan (ts)', 'Coleridge-Taylor Perkinson (p)', 'Eddie Khan (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","[""Driva' Man"", 'Tears For Johannesburg', 'Triptych: Prayer/Protest/Peace', 'All Africa', 'Freedom Day [aka Liberté]']"
"Radio Bremen Großer Sendesaal, Bremen, Germany","[radio broadcast]","January 18, 1964","['Clifford Jordan (ts)', 'Coleridge-Taylor Perkinson (p)', 'Eddie Khan (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['The Highest Mountain', '[unknown title]', 'For Big Sid', 'Jordu', 'Sophisticated Lady', 'Who Will Buy?', 'Love For Sale', 'Lonesome Lover']"
"Newport Jazz Festival - Freebody Park, Newport, RI","[radio broadcast]","July 4, 1964","['Clifford Jordan (ts)', 'Lonnie Liston Smith (p)', 'Eddie Khan (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","[""Long As You're Living"", ""Driva' Man"", 'Tears For Johannesburg', 'Triptych: Prayer/Protest/Peace', 'All Africa', 'Freedom Day [aka Liberté]']"
"Rome, Italy","[radio broadcast]","April 27, 1968","['Steve Lacy (ss)', ""Franco D'Andrea (p)"", 'Giovanni Tommaso (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['When Malindy Sings', 'Triptych: Prayer/Protest/Peace', 'For Big Sid', 'Drums Unlimited', 'Drums In Five', 'The Profit', 'Prelude']"
"Oslo, Norway","[radio broadcast]","May 1968","['Steve Lacy (ss)', ""Franco D'Andrea (p)"", 'Giovanni Tommaso (b)', 'Max Roach (d)', 'Abbey Lincoln (v)']","['Patty Pat', ""'Round Midnight""]"
"Atlantic Recording Studios, New York City","Atlantic","April 7, 1971","['Billy Harper (ts)', 'Cecil Bridgewater (t)', 'George Cables (p)', 'Eddie Mathias (eb)', 'Max Roach (d)', 'Ralph MacDonald (per)', 'Ruby McClureDorothy WhiteJ. C. White (v)']","['Troubled Waters', 'Go Down, Moses', 'Sometimes I Feel Like A Motherless Child', 'Were You There (When They Crucified My Lord)']"
"Dug, Tokyo, Japan","Elec Records Co. Ltd.","ca.  1973","['Hiromasa Suzuki (p)', 'Kunimitsu Inaba (b)', 'Tetsujiro Obara (d)', 'Abbey Lincoln (v)']","['Caged Bird', 'Somos Novios (Imposible)', ""My Way [aka Comme D'Habitude]"", 'Japanese Dream', 'Rainbow', 'When Malindy Sings', ""Driva' Man"", 'Misty', 'Mean To Me']"
"Tokyo, Japan","Philips","June 23, 1973","['Dave Liebman (fssts)', 'Hiromasa Suzuki (p)', 'Kunimitsu Inaba (b)', 'Al Foster (d)', 'James Mtume Foreman (cga)', 'Abbey Lincoln (v)']","['You And Me Love', 'Natas (Playmate)', 'Dorian (The Man With The Magic)', 'Africa [lyric version]', 'People In Me', 'Living Room', 'Kojo No Tsuki [aka Japanese Folk Song]', 'Naturally']"
"Vera, Gröningen, Netherlands","[private recording]","January 24, 1980","['Wayne Wright (p)', 'John Duke (b)', 'Doug Sides (d)', 'Abbey Lincoln (v)']","['Painted Lady', ""Long As You're Living"", 'Throw It Away', 'When Malindy Sings', 'Somos Novios (Imposible)', 'Living Room', 'God Bless The Child', 'Caged Bird', 'Sophisticated Lady', 'There Are Such Things', 'Talking To The Sun', 'What Are You Doing The Rest Of Your Life', 'Story Of My Father', 'Live For Life', 'Mendacity', 'Little Girl Blue']"
