"id","instrument","year"
"Lonnie Plaxico","Bass","1990s-2000s"
"David Gilmore","Guitar","1990s-2000s"
"Julian Joseph","Piano","1990s-2000s"
"Ron Carter","Conductor","1990s-2000s"
"Alain Jean-Marie","Piano","1990s-2000s"
"Jerry Dodgion","Alto Sax","1990s-2000s"
"Clark Terry","Trumpet","1990s-2000s"
"Geri Allen","Piano","1970s-1980s"
"Jimmy Heath","Tenor Sax","1970s-1980s"
"Ralph MacDonald","Percussion","1970s-1980s"
"Max Roach","Drums","1970s-1980s"
"Billy Harper","Tenor Sax","1970s-1980s"
"Dorothy White","Vocals","1970s-1980s"
"Cecil Bridgewater","Trumpet","1970s-1980s"
"George Cables","Piano","1970s-1980s"
"J. C. White","Vocals","1970s-1980s"
"Eddie Mathias","Bass","1970s-1980s"
"Ruby McClure","Vocals","1970s-1980s"
"Tetsujiro Obara","Drums","1970s-1980s"
"Coleridge-Taylor Perkinson","Piano","1950s-1960s"
"Eddie Khan","Bass","1950s-1960s"
"Lonnie Liston Smith","Piano","1950s-1960s"
"Franco D'Andrea","Piano","1950s-1960s"
"Steve Lacy","Soprano Sax","1950s-1960s"
"Giovanni Tommaso","Bass","1950s-1960s"
"Earl Baker","Vocals","1950s-1960s"
"Coleridge-Taylor Perkinson","Conductor","1950s-1960s"
"Richard Williams","Trumpet","1950s-1960s"
"Ronnie Mathews","Piano","1950s-1960s"
"Bobby Hutcherson","Vibraphone","1990s-2000s"
"Nicholas Payton","Trumpet","1990s-2000s"
"Daniel Moreno","Percussion","1990s-2000s"
"Maggie Brown","Vocals","1990s-2000s"
"James Hurt","Piano","1990s-2000s"
"Reggie Workman","Bass","1990s-2000s"
"Mal Waldron","Piano","1990s-2000s"
"Andrew Cyrille","Drums","1990s-2000s"
"Steve Kirby","Bass","1990s-2000s"
"Rodney Green","Drums","1990s-2000s"
"Rossen Zahariev","Trumpet","1990s-2000s"
"Steve Kuhn","Piano","1990s-2000s"
"Jacques Schwartz Bart","Tenor Sax","1990s-2000s"
"Chris Wood","Bass","1990s-2000s"
"Bob Moses","Drums","1990s-2000s"
"Belinda Whitney","Violin","1990s-2000s"
"Ashley Horn","Violin","1990s-2000s"
"Regis Iandiorio","Violin","1990s-2000s"
"Steve Hartman","Clarinet","1990s-2000s"
"Akua Dixon Turre","Cello","1990s-2000s"
"Pauline Kim","Violin","1990s-2000s"
"Ted Ackerman","Cello","1990s-2000s"
"Julien Lourau","Soprano Sax","1990s-2000s"
"James Spaulding","Flute","1990s-2000s"
"Kermit Moore","Cello","1990s-2000s"
"Jeff Lang","French Horn","1990s-2000s"
"Ray Drummond","Bass","1990s-2000s"
"Joyce Hammann","Violin","1990s-2000s"
"Richard Locker","Cello","1990s-2000s"
"Susan Rotholv","Flute","1990s-2000s"
"Robin Zeh","Violin","1990s-2000s"
"Susan Niedel-Palma","Flute","1990s-2000s"
"Ariane Lallemand","Cello","1990s-2000s"
"Sanford Allen","Violin","1990s-2000s"
"Kenny Barron","Piano","1990s-2000s"
"Alexandra McKenzie","Cello","1990s-2000s"
"Alan Broadbent","Conductor","1990s-2000s"
"Laurent Cugny","Conductor","1990s-2000s"
"Jonathan Dinklege","Violin","1990s-2000s"
"Dan Culpepper","French Horn","1990s-2000s"
"Stewart Rose","French Horn","1990s-2000s"
"David Heiss","Cello","1990s-2000s"
"Bob Carlisle","French Horn","1990s-2000s"
"Shari Hoffman","Clarinet","1990s-2000s"
"Kristof Witek","Violin","1990s-2000s"
"Jimmy Scott","Vocals","1990s-2000s"
"Hank Crawford","Alto Sax","1990s-2000s"
"Dave Eggar","Cello","1990s-2000s"
"Scott Colley","Bass","1990s-2000s"
"Gil Goldstein","Accordion","1990s-2000s"
"Shawn Pelton","Drums","1990s-2000s"
"Ali Jackson","Drums","1990s-2000s"
"Reginald Veal","Bass","1990s-2000s"
"Sahib Shihab","Flute","1950s-1960s"
"Art Farmer","Trumpet","1950s-1960s"
"Sonny Rollins","Tenor Sax","1950s-1960s"
"Bheki Mseleku","Tenor Sax","1990s-2000s"
"Marvin 'Smitty' Smith","Drums","1990s-2000s"
"Al Foster","Drums","1990s-2000s"
"Anne-Gaelle Bisquay","Cello","1990s-2000s"
"Christian McBride","Bass","1990s-2000s"
"Frédéric Fymard","Viola","1990s-2000s"
"John Robinson","Cello","1990s-2000s"
"Pierre Blanchard","Violin","1990s-2000s"
"Sandra Billingslea","Violin","1990s-2000s"
"Marc Gilet","Cello","1990s-2000s"
"Lucky Peterson","Guitar","1990s-2000s"
"Vincent Pagliarin","Violin","1990s-2000s"
"Victor Lewis","Drums","1990s-2000s"
"Pat Metheny","Guitar","1990s-2000s"
"Carter Beauford","Drums","1990s-2000s"
"Jesse Davis","Alto Sax","1990s-2000s"
"Ron Blake","Tenor Sax","1990s-2000s"
"Billy Drummond","Drums","1990s-2000s"
"Stephen Scott","Piano","1990s-2000s"
"Mark Whitfield","Guitar","1990s-2000s"
"Graham Haynes","Cornet","1990s-2000s"
"Frank Morgan","Alto Sax","1990s-2000s"
"Oliver Lake","Alto Sax","1990s-2000s"
"Riley T. Bandy III","Alto Sax","1990s-2000s"
"Bazzi Bartholomew Gray","Vocals","1990s-2000s"
"Arthur Green","Vocals","1990s-2000s"
"Turu Alexander","Drums","1990s-2000s"
"Justin Robinson","Alto Sax","1990s-2000s"
"Julien Lourau","Tenor Sax","1990s-2000s"
