"source","target","type","label"
"John Ormond","Brandon McCune","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"John Ormond","Jaz Sawyer","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"John Ormond","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Brandon McCune","Jaz Sawyer","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Brandon McCune","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Jaz Sawyer","Abbey Lincoln","undirected","ca.  September 2000, Ford Detroit International Jazz Festival, Detroit, MI"
"Marc Cary","John Ormond","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Marc Cary","Jaz Sawyer","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Marc Cary","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"John Ormond","Jaz Sawyer","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"John Ormond","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Jaz Sawyer","Abbey Lincoln","undirected","October 30, 1999, Oosterpoort, Gröningen, Netherlands"
"Jennifer Vincent","Joe Lovano","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Jaz Sawyer","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jennifer Vincent","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Jaz Sawyer","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Joe Lovano","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Kendra Shank","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jaz Sawyer","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Kendra Shank","John Ormond","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Kendra Shank","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Kendra Shank","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Kendra Shank","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"John Ormond","Brandon McCune","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"John Ormond","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"John Ormond","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Brandon McCune","Jerry Gonzalez","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Brandon McCune","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Jerry Gonzalez","Abbey Lincoln","undirected","ca.  February 18, 2000, Right Track Studio, New York City"
"Alvester Garnett","Rodney Kendrick","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Stacie Precia","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Michael Bowie","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Bemshee Shirer","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Kahlil Kwame Bell","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Alvester Garnett","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Stacie Precia","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Michael Bowie","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Bemshee Shirer","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Kahlil Kwame Bell","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Rodney Kendrick","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Michael Bowie","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Bemshee Shirer","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Kahlil Kwame Bell","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Bemshee Shirer","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Kahlil Kwame Bell","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Kahlil Kwame Bell","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Kahlil Kwame Bell","Steve Coleman","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Kahlil Kwame Bell","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Abbey Lincoln","undirected","March 8, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Marc Cary","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Steve Coleman","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Freddy Cole","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Jaz Sawyer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Stacie Precia","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Steve Coleman","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Freddy Cole","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Jaz Sawyer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Stacie Precia","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Marc Cary","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Freddy Cole","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Jaz Sawyer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Stacie Precia","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Steve Coleman","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Jaz Sawyer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Stacie Precia","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Freddy Cole","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","Stacie Precia","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Jaz Sawyer","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Bemshee Shirer","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Stacie Precia","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","John Ormond","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"John Ormond","Kahlil Kwame Bell","undirected","March 9, 2002, Alice Tully Hall, New York City"
"John Ormond","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"John Ormond","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Kahlil Kwame Bell","Savion Glover","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Kahlil Kwame Bell","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Savion Glover","Abbey Lincoln","undirected","March 9, 2002, Alice Tully Hall, New York City"
"Frank Owens","Abbey Lincoln","undirected","November 26, 2000, St. Peter's Church, New York City"
"Jennifer Vincent","James Weidman","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Stacie Precia","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Bemshee Shirer","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","John Lampkin","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Michael Bowie","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Jennifer Vincent","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","Stacie Precia","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","Bemshee Shirer","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","John Lampkin","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","Michael Bowie","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"James Weidman","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Bemshee Shirer","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Stacie Precia","John Lampkin","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Michael Bowie","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Stacie Precia","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","John Lampkin","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Michael Bowie","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Bemshee Shirer","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"John Lampkin","Michael Bowie","undirected","March 7, 2002, Alice Tully Hall, New York City"
"John Lampkin","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"John Lampkin","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Joe Lovano","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Michael Bowie","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Joe Lovano","Abbey Lincoln","undirected","March 7, 2002, Alice Tully Hall, New York City"
"Marc Cary","John Ormond","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"Marc Cary","Jaz Sawyer","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"Marc Cary","Abbey Lincoln","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"John Ormond","Jaz Sawyer","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"John Ormond","Abbey Lincoln","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"Jaz Sawyer","Abbey Lincoln","undirected","July 12, 2002, Mariahilferplatz, Graz, Austria"
"Abbey Lincoln","Max Roach","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Abbey Lincoln","Julian Priester","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Abbey Lincoln","Booker Little","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Abbey Lincoln","Walter Benton","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Abbey Lincoln","James Schenk","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Abbey Lincoln","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Julian Priester","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Booker Little","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Walter Benton","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","James Schenk","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Booker Little","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Walter Benton","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","James Schenk","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","Walter Benton","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","James Schenk","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Walter Benton","James Schenk","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Walter Benton","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"James Schenk","Coleman Hawkins","undirected","August 31, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Stanley Turrentine","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Max Roach","Julian Priester","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Max Roach","Tommy Turrentine","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Max Roach","Abbey Lincoln","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Max Roach","Cedar Walton","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Max Roach","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Stanley Turrentine","Julian Priester","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Stanley Turrentine","Tommy Turrentine","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Stanley Turrentine","Abbey Lincoln","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Stanley Turrentine","Cedar Walton","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Stanley Turrentine","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Julian Priester","Tommy Turrentine","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Julian Priester","Abbey Lincoln","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Julian Priester","Cedar Walton","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Julian Priester","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Tommy Turrentine","Abbey Lincoln","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Tommy Turrentine","Cedar Walton","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Tommy Turrentine","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Abbey Lincoln","Cedar Walton","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Abbey Lincoln","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Cedar Walton","Bobby Boswell","undirected","ca.  November 1959, Reeves Sound Studios, New York City"
"Abbey Lincoln","Michael Bowie","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Abbey Lincoln","Rodney Kendrick","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Abbey Lincoln","Aaron Walker","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Michael Bowie","Rodney Kendrick","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Michael Bowie","Aaron Walker","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Rodney Kendrick","Aaron Walker","undirected","July 4, 1993, Montreux Jazz Festival - New Q's, Montreux, Switzerland"
"Abbey Lincoln","Michael Bowie","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Abbey Lincoln","Rodney Kendrick","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Abbey Lincoln","Aaron Walker","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Michael Bowie","Rodney Kendrick","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Michael Bowie","Aaron Walker","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Rodney Kendrick","Aaron Walker","undirected","July 3, 1993, Skeppsholmen Festival, Stockholm, Sweden"
"Peck Morrison","Kenny Dorham","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Benny Bailey","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Eric Dolphy","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Jo Jones","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Max Roach","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Peck Morrison","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Benny Bailey","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Eric Dolphy","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Jo Jones","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Max Roach","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Kenny Dorham","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Eric Dolphy","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Jo Jones","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Max Roach","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Benny Bailey","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Jo Jones","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Max Roach","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Eric Dolphy","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Max Roach","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Jo Jones","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Julian Priester","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Booker Little","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","Walter Benton","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Booker Little","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Walter Benton","Cecil Payne","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Walter Benton","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Cecil Payne","Abbey Lincoln","undirected","November 1, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Max Roach","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Babatunde Olatunji","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Julian Priester","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Thomas Du Vall","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Booker Little","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Walter Benton","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","James Schenk","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Ray Mantilla","Abbey Lincoln","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Babatunde Olatunji","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Julian Priester","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Thomas Du Vall","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Booker Little","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Walter Benton","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","James Schenk","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Max Roach","Abbey Lincoln","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","Julian Priester","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","Thomas Du Vall","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","Booker Little","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","Walter Benton","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","James Schenk","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Babatunde Olatunji","Abbey Lincoln","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Thomas Du Vall","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Booker Little","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","Walter Benton","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
"Julian Priester","James Schenk","undirected","September 6, 1960, Nola Penthouse Sound Studios, New York City"
